frame,ii,jj,xtl,ytl,xbr,ybr
64,0,2,220.87,317.94000000000005,285.69,382.77
65,0,2,285.69,279.04999999999995,350.51,343.8800000000001
66,0,2,324.58,253.1199999999999,389.4,317.95000000000005
67,0,2,324.58,243.8599999999999,389.4,308.69000000000005
68,0,2,300.5,232.75,365.32,297.5799999999999
69,0,2,272.73,238.30999999999995,337.55,303.1400000000001
70,0,2,241.25,245.71000000000004,306.06,310.53999999999996
71,0,2,230.13,284.5999999999999,294.95,349.43000000000006
72,0,2,230.13,334.5999999999999,294.95,399.43000000000006
79,0,2,209.76,338.30999999999995,274.58,403.1400000000001
80,0,2,213.47,303.1199999999999,278.28,367.95000000000005
81,0,2,226.43,279.04999999999995,291.25,343.8800000000001
82,0,2,252.35,266.0899999999999,317.17,330.9200000000001
83,0,2,285.69,251.26999999999998,350.51,316.0999999999999
84,0,2,294.95,264.24,352.35,321.70000000000005
85,0,2,299.58,272.56999999999994,356.98,330.03999999999996
86,0,2,304.21,280.9000000000001,361.61,338.3699999999999
87,0,2,319.02,280.9000000000001,376.43,338.3699999999999
88,0,2,330.13,275.3499999999999,387.54,342.04999999999995
89,0,2,343.1,271.6400000000001,400.5,338.3399999999999
90,0,2,352.36,260.53,409.76,327.23
91,0,2,361.61,254.98000000000002,416.0,321.68000000000006
92,0,2,359.76,247.56999999999994,416.0,314.27
93,0,2,369.02,232.76,416.0,299.45000000000005
93,1,2,0.0,232.76,16.00999999999999,299.45000000000005
94,0,2,370.9,242.0,416.0,297.5999999999999
95,0,2,371.93,232.18000000000006,416.0,287.78
96,0,2,369.87,218.74,416.0,274.3399999999999
97,0,2,360.05,207.8900000000001,416.0,263.49
98,0,2,366.2,191.29999999999995,408.15,243.32999999999993
99,0,2,366.2,191.29999999999995,408.15,243.32999999999993
4316,5,2,310.6100000000001,324.25,375.32000000000016,413.25
4317,5,2,298.82000000000016,302.81999999999994,363.5300000000002,391.80999999999995
4318,5,2,276.32000000000016,281.3900000000001,341.0300000000002,370.3800000000001
4319,5,2,308.4699999999998,256.74,373.17999999999984,345.73
4341,5,2,192.73000000000002,123.85000000000002,292.6700000000001,202.19000000000005
4342,5,2,78.05999999999995,106.70000000000005,178.0,185.03999999999996
4343,5,2,15.900000000000091,64.90999999999997,115.84000000000015,143.24
4344,5,2,0.0,26.33000000000004,99.76999999999998,104.65999999999997
4345,5,1,0.0,399.46000000000004,85.84000000000015,416.0
4345,5,2,0.0,0.0,85.84000000000015,61.799999999999955
4346,5,1,0.0,343.9,90.4699999999998,416.0
4347,4,1,384.9200000000001,317.66999999999996,416.0,396.01
4347,5,1,0.0,317.66999999999996,68.86000000000013,396.01
4348,4,1,383.3800000000001,296.05999999999995,416.0,374.4
4348,5,1,0.0,296.05999999999995,67.32000000000016,374.4
4349,4,1,381.5899999999999,295.16999999999996,416.0,373.51
4349,5,1,0.0,295.16999999999996,76.19999999999982,373.51
4350,4,1,378.9100000000001,307.67999999999995,416.0,386.01
4350,5,1,0.0,307.67999999999995,73.51999999999998,386.01
4351,4,1,376.23,323.75,416.0,402.09000000000003
4351,5,1,0.0,323.75,70.84000000000015,402.09000000000003
4352,4,1,368.19000000000005,340.72,416.0,416.0
4352,5,1,0.0,340.72,62.80000000000018,416.0
4353,4,1,364.6199999999999,356.78999999999996,416.0,416.0
4353,5,1,0.0,356.78999999999996,59.23000000000002,416.0
4353,5,2,0.0,0.0,59.23000000000002,19.129999999999995
4354,4,1,357.48,370.19000000000005,416.0,416.0
4354,5,1,0.0,370.19000000000005,52.090000000000146,416.0
4354,4,2,357.48,0.0,416.0,32.52999999999997
4354,5,2,0.0,0.0,52.090000000000146,32.52999999999997
4355,4,2,336.94000000000005,0.0,416.0,65.57000000000005
4355,5,2,0.0,0.0,31.550000000000182,65.57000000000005
4356,4,2,324.43000000000006,0.6299999999999955,416.0,78.96000000000004
4356,5,2,0.0,0.6299999999999955,19.039999999999964,78.96000000000004
4357,4,2,312.81999999999994,0.0,416.0,74.5
4358,4,1,335.1500000000001,386.26,416.0,416.0
4358,4,2,335.1500000000001,0.0,416.0,48.60000000000002
4358,5,2,0.0,0.0,29.76000000000022,48.60000000000002
4359,4,1,328.01,365.72,416.0,416.0
4359,5,1,0.0,365.72,22.61999999999989,416.0
