Dot Point Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: Friday, February 01, 2019 11:16:54,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,OpCode,TapeReader,Depth,Comment,,,,,,,,,Family,Genus,Species,Code,Number,Stage,Activity,Flower ID,Animal ID,A/D
T1_12L.avi,3127,1.739,Time deployment,0.3187,273,1148,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,3,1,New_flower
T1_12L.avi,3970,2.2078,Time deployment,0.7875,155,2635,T1_12,Jake,,,,,,,,,,,Formicidae,,sp,,1,F,Collecting nectar,10,2,New_flower
T1_12L.avi,4423,2.4597,Time deployment,1.0394,480,1931,T1_12,Jake,,,,,,,,,,,Formicidae,,sp,,1,F,Collecting nectar,6,3,New_flower
T1_12L.avi,5665,3.1504,Time deployment,1.7301,281,1594,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,5,1,New_flower
T1_12L.avi,5867,3.2627,Time deployment,1.8424,884,1709,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,7,4,New_flower
T1_12L.avi,6180,3.4368,Time deployment,2.0165,567,2197,T1_12,Jake,,,,,,,,,,,Formicidae,,sp,,1,F,Collecting nectar,8,5,New_flower
T1_12L.avi,6618,3.6803,Time deployment,2.26,604,1961,T1_12,Jake,,,,,,,,,,,Formicidae,,sp,,1,F,Collecting nectar,8,1,New_flower
T1_12L.avi,6618,3.6803,Time deployment,2.26,776,2086,T1_12,Jake,,,,,,,,,,,Formicidae,,sp,,1,F,Collecting nectar,7,5,New_flower
T1_12L.avi,6681,3.7154,Time deployment,2.2951,636,2121,T1_12,Jake,,,,,,,,,,,Formicidae,,sp,,1,F,Collecting nectar,7,5,
T1_12L.avi,6681,3.7154,Time deployment,2.2951,587,2017,T1_12,Jake,,,,,,,,,,,Formicidae,,sp,,1,F,Collecting nectar,8,1,
T1_12L.avi,6681,3.7154,Time deployment,2.2951,766,2066,T1_12,Jake,,,,,,,,,,,Formicidae,,sp,,1,F,Collecting nectar,7,15,
T1_12L.avi,7709,4.2871,Time deployment,2.8667,158,1126,T1_12,Jake,,,,,,,,,,,Formicidae,,sp,,1,F,Collecting nectar,3,6,New_flower
T1_12L.avi,8366,4.6524,Time deployment,3.2321,1050,1204,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,4,7,New_flower
T1_12L.avi,9182,5.1062,Time deployment,3.6859,594,1845,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,4,8,New_flower
T1_12L.avi,9827,5.4649,Time deployment,4.0446,677,1269,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,2,8,New_flower
T1_12L.avi,11376,6.3263,Time deployment,4.906,278,1886,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,5,9,New_flower
T1_12L.avi,12422,6.908,Time deployment,5.4877,579,2221,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,8,9,New_flower
T1_12L.avi,12999,7.2289,Time deployment,5.8086,197,1542,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,3,8,New_flower
T1_12L.avi,19987,11.115,Time deployment,9.6947,791,2005,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,4,8,New_flower
T1_12L.avi,20028,11.1378,Time deployment,9.7175,687,2408,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,7,9,New_flower
T1_12L.avi,22242,12.369,Time deployment,10.9487,441,1852,T1_12,Jake,,,,,,,,,,,Formicidae,Camponotus,nigroaneus,34,1,F,Collecting nectar,5,9,New_flower
