recording,video_file,insect_id,first_frame,last_frame,mean_velocity,median_velocity,mean_relative_velocity,median_relative_velocity
2021-10-17-A-1200,GOPR0126,0,0,99,84.27272727272727,1.0,0.321313340762198,0.0043314808182421
2021-10-17-A-1200,GOPR0126,1,3,44,49.146341463414636,0.0,0.1662462590369898,0.0
2021-10-17-A-1200,GOPR0126,2,49,173,91.0,2.0,0.34359526929702355,0.009369851533892758
2021-10-17-A-1200,GOPR0126,3,103,203,43.25,1.5,0.16833078435814045,0.006081985707847806
2021-10-17-A-1200,GOPR0126,4,177,428,22.904382470119522,1.0,0.08508311060937802,0.00421610788611708
2021-10-17-A-1200,GOPR0126,5,208,590,41.19109947643979,1.0,0.1401114556654888,0.003004937413742513
2021-10-17-A-1200,GOPR0126,6,278,328,22.5,0.0,0.07978698576523476,0.0
2021-10-17-A-1200,GOPR0126,7,341,368,0.4074074074074074,0.0,0.0015628384956641725,0.0
2021-10-17-A-1200,GOPR0126,8,438,462,43.541666666666664,0.0,0.128221654519598,0.0
2021-10-17-A-1200,GOPR0126,9,446,876,59.2046511627907,0.0,0.22604619993485392,0.0
2021-10-17-A-1200,GOPR0126,10,504,748,74.65573770491804,0.0,0.28381993497304947,0.0
2021-10-17-A-1200,GOPR0126,11,745,774,11.275862068965518,0.0,0.04032796810425679,0.0
2021-10-17-A-1200,GOPR0126,12,745,1007,50.034351145038165,6.0,0.19111198238159888,0.02428433158597513
2021-10-17-A-1200,GOPR0126,13,887,903,0.375,0.0,0.0013909702232095967,0.0
2021-10-17-A-1200,GOPR0126,14,888,907,0.3157894736842105,0.0,0.0012276288388444947,0.0
2021-10-17-A-1200,GOPR0126,15,888,912,1.7916666666666667,0.0,0.006893313034598924,0.0
2021-10-17-A-1200,GOPR0126,16,929,944,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GOPR0126,17,951,1021,8.114285714285714,0.0,0.029659504605516866,0.0
2021-10-17-A-1200,GOPR0126,18,957,972,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GOPR0126,19,979,1394,111.10361445783133,17.0,0.40235884328952237,0.06013828978537157
2021-10-17-A-1200,GOPR0126,20,1034,1109,91.38666666666667,0.0,0.3355322502573565,0.0
2021-10-17-A-1200,GOPR0126,21,1117,1154,16.72972972972973,0.0,0.06284483757978492,0.0
2021-10-17-A-1200,GOPR0126,22,1164,1367,52.65024630541872,0.0,0.18529769130899326,0.0
2021-10-17-A-1200,GOPR0126,23,1212,1239,15.703703703703704,0.0,0.044985391615897846,0.0
2021-10-17-A-1200,GOPR0126,24,1212,1227,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GOPR0126,25,1323,1859,41.173507462686565,5.0,0.1557648475841377,0.018606587016297176
2021-10-17-A-1200,GOPR0126,26,1379,1505,21.817460317460316,14.0,0.07537443909970587,0.046724583978791714
2021-10-17-A-1200,GOPR0126,27,1425,1453,16.535714285714285,0.0,0.06328436934729796,0.0
2021-10-17-A-1200,GOPR0126,28,1458,1481,56.43478260869565,0.0,0.20730744679445567,0.0
2021-10-17-A-1200,GOPR0126,29,1466,1534,39.98529411764706,4.5,0.14864697839902033,0.018221038033874794
2021-10-17-A-1200,GOPR0126,30,1519,1590,27.112676056338028,4.0,0.10243196136449491,0.0164929172974116
2021-10-17-A-1200,GOPR0126,31,1548,1667,62.714285714285715,0.0,0.22565250392814062,0.0
2021-10-17-A-1200,GOPR0126,32,1669,1826,54.732484076433124,0.0,0.2160535878431866,0.0
2021-10-17-A-1200,GOPR0126,33,1832,1954,84.20491803278688,5.0,0.339311462716542,0.0201172559383426
2021-10-17-A-1200,GOPR0126,34,1907,1991,38.404761904761905,1.5,0.16549701526800964,0.006246885134897633
2021-10-17-A-1200,GOPR0126,35,1961,2081,17.908333333333335,0.0,0.07186914680495338,0.0
2021-10-17-A-1200,GOPR0126,36,1995,2129,70.9776119402985,0.0,0.2637935455183946,0.0
2021-10-17-A-1200,GOPR0126,37,2021,2388,47.49318801089918,0.0,0.1629740707185378,0.0
2021-10-17-A-1200,GOPR0126,38,2022,2049,15.481481481481481,0.0,0.07565143370538276,0.0
2021-10-17-A-1200,GOPR0126,39,2108,2281,27.427745664739884,0.0,0.09149379694260985,0.0
2021-10-17-A-1200,GOPR0126,40,2110,2315,23.790243902439023,1.0,0.08268736125550018,0.003579083396003768
2021-10-17-A-1200,GOPR0126,41,2110,2313,37.522167487684726,0.0,0.1259501617116066,0.0
2021-10-17-A-1200,GOPR0126,42,2178,2194,14.3125,0.0,0.0559128957188664,0.0
2021-10-17-A-1200,GOPR0126,43,2206,2388,23.582417582417584,0.0,0.07820719738700964,0.0
2021-10-17-A-1200,GOPR0126,44,2250,2324,16.283783783783782,0.0,0.05186513456075666,0.0
2021-10-17-A-1200,GOPR0126,45,2250,2266,0.375,0.0,0.001388888888888889,0.0
2021-10-17-A-1200,GOPR0126,46,2297,2505,26.615384615384617,5.0,0.0782409757005865,0.013579859224549361
2021-10-17-A-1200,GOPR0126,47,2297,2402,16.142857142857142,2.0,0.04865902997477772,0.0047131026816172
2021-10-17-A-1200,GOPR0126,48,2328,2343,0.0,0.0,0.0,0.0
2021-10-17-A-1200,GOPR0126,49,2328,2370,2.0238095238095237,0.0,0.006001716036644774,0.0
2021-10-17-A-1200,GOPR0126,50,2373,2471,26.20408163265306,0.0,0.08274432265967721,0.0
2021-10-17-A-1200,GOPR0126,51,2373,2402,5.862068965517241,0.0,0.020056542361294102,0.0
2021-10-17-A-1200,GOPR0126,52,2404,2460,17.357142857142858,0.0,0.06527118198048666,0.0
